@RELATION randomforestModel
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {gun_shot,car_horn}

@DATA
0.024365,0.006596,2.950838,0.108951,0.185288,0.103658,0.029755,0.022328,-29.943977,2.794566,-0.399111,-0.218856,-0.027965,0.014015,-0.033164,0.274818,0.352419,0.138969,0.093796,0.062346,-0.009321,0.006663,0.005746,0.089459,0.005643,0.029753,0.003842,0.141815,0.001487,0.004447,0.007581,0.022655,0.006459,0.048458,0.009362,0.008477,0.214582,0.023769,0.027384,0.043212,0.061386,0.005411,2.380282,0.515975,0.308498,0.203639,0.190024,0.155868,0.174332,0.146531,0.160821,0.116496,0.127671,0.134307,0.110179,0.005121,0.005541,0.054555,0.004283,0.026535,0.003537,0.091867,0.001633,0.004695,0.008028,0.013093,0.005859,0.020619,gun_shot
0.061398,0.014933,2.842459,0.149167,0.175378,0.593765,0.013981,0.091727,-30.063132,1.120106,0.109658,0.375784,0.398818,0.181586,0.183431,0.179059,0.048012,0.121147,0.062203,0.046675,0.069174,0.002398,0.001960,0.080527,0.001969,0.040349,0.002250,0.125156,0.001411,0.001839,0.002663,0.018619,0.001584,0.047869,0.056254,0.027099,0.344749,0.056950,0.030104,0.670955,0.014702,0.129625,3.245666,0.863787,0.595740,0.286640,0.207782,0.226671,0.174461,0.206013,0.174319,0.190139,0.174859,0.141036,0.133092,0.002749,0.002410,0.074385,0.002193,0.033053,0.002759,0.089333,0.001746,0.002104,0.003162,0.016920,0.002122,0.025373,gun_shot
0.015513,0.010513,3.045467,0.172240,0.245075,0.216494,0.006082,0.030333,-34.111611,0.935006,-0.289107,0.296822,0.157857,0.197841,-0.164253,-0.186461,-0.124846,0.054844,-0.025789,0.024178,-0.022638,0.002544,0.001555,0.006714,0.003188,0.002727,0.002408,0.140315,0.001852,0.003392,0.002912,0.003590,0.001261,0.038278,0.009705,0.006714,0.258047,0.049651,0.034812,0.129195,0.013708,0.018354,2.995542,0.397163,0.223913,0.173768,0.172709,0.162053,0.162062,0.164342,0.146411,0.137321,0.128118,0.131772,0.138385,0.001617,0.001323,0.005881,0.002174,0.001900,0.001705,0.018172,0.001305,0.002416,0.002336,0.002343,0.000857,0.005143,gun_shot
0.047502,0.015700,3.205029,0.108934,0.146776,0.471506,0.003992,0.077949,-34.550064,1.338935,-0.397294,0.578122,0.223304,0.241095,0.125897,0.303208,0.158487,0.068536,-0.064870,0.042917,-0.020895,0.004673,0.001330,0.020755,0.004250,0.013095,0.093265,0.029716,0.002092,0.001836,0.003611,0.024940,0.001419,0.035502,0.025350,0.050161,0.103753,0.035849,0.038744,0.284810,0.002934,0.050727,3.943814,0.419496,0.408314,0.226474,0.163417,0.133301,0.186823,0.177661,0.150737,0.113054,0.129010,0.122916,0.112868,0.004211,0.001395,0.024324,0.003552,0.012847,0.024613,0.042488,0.001666,0.001568,0.002869,0.021930,0.001180,0.011739,gun_shot
0.094453,0.002244,2.934347,0.157449,0.160358,0.816477,0.002900,0.158145,-31.161276,0.425657,-1.122223,0.334166,0.029389,0.127334,0.001499,0.031313,-0.017266,-0.038309,0.000002,-0.026551,-0.021978,0.010184,0.006982,0.011739,0.008948,0.013830,0.008418,0.010559,0.006000,0.006970,0.010692,0.013832,0.007823,0.007032,0.036348,0.003452,0.428036,0.040757,0.018815,0.450684,0.000981,0.090612,1.900606,0.837808,0.331563,0.266527,0.226174,0.181119,0.191372,0.172910,0.173191,0.156891,0.154483,0.147500,0.154039,0.006776,0.005593,0.008033,0.006264,0.009348,0.005893,0.006990,0.004921,0.005048,0.007430,0.009576,0.005896,0.002947,gun_shot
0.052280,0.003726,3.038955,0.109233,0.119977,0.458664,0.012169,0.039632,-40.365616,0.789394,0.549251,0.439627,0.168830,0.172528,0.106207,0.097492,0.057575,0.009930,0.006617,0.029801,-0.016765,0.009260,0.001083,0.027770,0.004422,0.083480,0.002264,0.044162,0.000746,0.001752,0.011761,0.019323,0.001146,0.034684,0.042039,0.006068,0.336347,0.072963,0.057771,0.369048,0.038344,0.031283,3.763004,0.603226,0.416306,0.301889,0.196714,0.172553,0.136867,0.153783,0.149125,0.133267,0.108630,0.112928,0.105487,0.015624,0.001063,0.022861,0.006851,0.028800,0.002665,0.040275,0.000700,0.001441,0.011230,0.015876,0.001120,0.007657,gun_shot
0.034959,0.004287,3.087392,0.104874,0.161511,0.347008,0.011035,0.055922,-33.464304,1.923309,0.607758,0.390220,0.144301,0.447155,0.233685,0.242163,0.133503,0.217370,0.248074,0.163642,0.114381,0.003149,0.001576,0.041534,0.003361,0.028761,0.003128,0.091513,0.001660,0.002492,0.005923,0.018951,0.001826,0.031268,0.014505,0.004698,0.164667,0.026070,0.022775,0.229841,0.019119,0.033339,2.394391,0.557038,0.334076,0.231450,0.228683,0.211845,0.171389,0.141199,0.136145,0.149633,0.154623,0.142199,0.124148,0.002253,0.001430,0.028835,0.002434,0.019989,0.002388,0.027080,0.001441,0.002091,0.004784,0.015259,0.001439,0.007066,gun_shot
0.021273,0.000836,3.059543,0.087688,0.174713,0.061501,0.009297,0.027450,-32.741288,3.384443,-0.295357,0.095389,0.129639,0.493945,0.171590,-0.052874,-0.193084,0.014604,0.142597,0.129068,-0.125318,0.015126,0.002770,0.045707,0.009909,0.027923,0.009661,0.076102,0.004584,0.004548,0.016826,0.036460,0.003457,0.027970,0.006947,0.002618,0.241410,0.023833,0.028251,0.072615,0.004731,0.013436,2.037391,0.619005,0.333150,0.254854,0.215951,0.247640,0.206501,0.168388,0.160955,0.150762,0.163883,0.143250,0.141892,0.012536,0.003206,0.029827,0.008114,0.018045,0.006650,0.033506,0.003212,0.003668,0.012571,0.025618,0.003673,0.008192,gun_shot
0.015829,0.075649,3.151220,0.053943,0.117165,0.028964,0.005016,0.022076,-21.022388,2.302496,-0.816908,0.069649,-0.106052,-0.125540,-0.070130,-0.003143,-0.054000,-0.098116,-0.121305,-0.121522,-0.010401,0.016743,0.009591,0.029007,0.018878,0.024635,0.011979,0.032513,0.003680,0.012400,0.020402,0.021257,0.008899,0.014385,0.004718,0.027102,0.090096,0.017774,0.037572,0.038982,0.001298,0.006662,0.419389,0.419997,0.284309,0.181198,0.180035,0.195734,0.152515,0.146305,0.153412,0.141688,0.136993,0.146153,0.137548,0.010233,0.008259,0.018074,0.011312,0.015297,0.008649,0.019318,0.002985,0.007956,0.012776,0.012115,0.006597,0.004996,gun_shot
0.016412,0.076069,3.143042,0.055582,0.114232,0.033587,0.004431,0.021215,-20.984490,2.447085,-0.486730,-0.048647,-0.058446,-0.078401,-0.110462,-0.035219,-0.090621,-0.083240,-0.128906,-0.078530,-0.022553,0.017763,0.010208,0.030991,0.017206,0.023102,0.014205,0.037320,0.003672,0.013339,0.024772,0.022820,0.007615,0.015772,0.003579,0.026143,0.098692,0.015893,0.036550,0.026002,0.001299,0.005534,0.399773,0.265000,0.256071,0.188589,0.166846,0.173513,0.147325,0.142357,0.137458,0.135091,0.147564,0.133201,0.125618,0.010788,0.008279,0.016831,0.011074,0.014700,0.009580,0.016868,0.004285,0.009086,0.015387,0.011572,0.005744,0.003645,gun_shot
